,55_feats_7.28_rmse,48_feats_7.25_rmse,152_feats_6.97_rmse
AATS0e,0,0,0
AATS0i,0,0,0
AATS0m,0,0,0
AATS0p,0,0,0
AATS0s,0,0,0
AATS0v,0,0,0
AATS1e,0,0,0
AATS1e*AATSC1i,0,0,0
AATS1e*AATSC1v,0,0,0
AATS1e*ATSC1i,0,0,0
AATS1e*MATS2c,0,0,0
AATS1i,0,0,0
AATS1m,0,0,0
AATS1p,0,0,0
AATS1p*GATS2c,0,0,0
AATS1p*MDEN-23,0,0,0
AATS1p*maxsssN,0,0,0
AATS1s,0,0,0
AATS1s*GATS2c,0,0,0
AATS1v,0,0,0
AATS1v*GATS2c,0,0,0
AATS2e,0,0,0
AATS2i,0,0,0
AATS2i*GATS8s,0,0,0
AATS2m,0,0,0
AATS2p,0,0,0
AATS2p*GATS2c,0,0,0
AATS2p*MDEN-23,0,0,0
AATS2p*SsssN,0,0,0
AATS2p*maxsssN,0,0,0
AATS2p*minssCH2,0,0,0
AATS2s,0,0,0
AATS2v,0,0,0
AATS2v*GATS2c,0,0,0
AATS2v*MDEN-23,0,0,0
AATS2v*SsssN,0,0,0
AATS2v*maxsssN,0,0,0
AATS3e,0,0,0
AATS3i,0,0,0
AATS3m,0,0,0
AATS3p,0,0,0
AATS3p*GATS2c,0,0,0
AATS3p*MDEN-23,0,0,0
AATS3p*SsssN,0,0,0
AATS3p*maxsssN,0,0,0
AATS3s,0,0,0
AATS3v,0,0,0
AATS3v*GATS2c,0,0,0
AATS3v*MDEN-23,0,0,0
AATS3v*maxsssN,0,0,0
AATS4e,0,0,0
AATS4i,0,0,0
AATS4m,0,0,0
AATS4p,0,0,0
AATS4s,0,0,0
AATS4v,0,0,0
AATS5e,0,0,0
AATS5i,0,0,0
AATS5m,0,0,0
AATS5p,0,0,0
AATS5s,0,0,0
AATS5v,0,0,0
AATS6e,0,0,0
AATS6i,0,0,0
AATS6m,0,0,0
AATS6p,0,0,0
AATS6s,0,0,0
AATS6v,0,0,0
AATS7e,0,0,0
AATS7e*MATS3p,0,0,0
AATS7i,0,0,0
AATS7i*MATS3p,0,0,0
AATS7m,0,0,0
AATS7m*GATS7p,0,0,0
AATS7m*JGI8,0,0,0
AATS7p,0,0,0
AATS7s,0,0,0
AATS7v,0,0,0
AATS8e,0,0,0
AATS8i,0,0,0
AATS8m,0,0,0
AATS8p,0,0,0
AATS8s,0,0,0
AATS8v,0,0,0
AATSC0c,0,0,0
AATSC0e,0,0,0
AATSC0i,0,0,0
AATSC0m,0,0,0
AATSC0p,0,0,0
AATSC0s,0,0,0
AATSC0s*MDEN-11,0,0,0
AATSC0v,0,0,0
AATSC1c,0,0,0
AATSC1e,0,0,0
AATSC1i,0,0,0
AATSC1i*ETA_dEpsilon_A,0,0,0
AATSC1i*ETA_dEpsilon_B,0,0,0
AATSC1i*ETA_dEpsilon_D,0,0,0
AATSC1i*GATS1v,0,0,0
AATSC1i*GATS2c,0,0,0
AATSC1i*MATS1c,0,0,0
AATSC1i*MATS1i,0,0,0
AATSC1i*MATS1v,0,0,0
AATSC1i*MATS2c,0,0,0
AATSC1i*MDEN-11,0,0,0
AATSC1i*MDEN-23,0,0,0
AATSC1i*Mare,0,0,0
AATSC1i*Mpe,0,0,0
AATSC1i*SIC4,0,0,0
AATSC1i*SsNH2,0,1,1
AATSC1m,0,0,0
AATSC1p,0,0,0
AATSC1s,0,0,0
AATSC1s*GATS1c,0,0,0
AATSC1s*GATS3p,0,0,0
AATSC1s*JGI2,0,0,0
AATSC1s*MATS2s,0,0,0
AATSC1s*minHBd,0,0,0
AATSC1v,0,0,0
AATSC1v*AATSC1i,0,0,0
AATSC1v*ETA_Shape_P,0,0,0
AATSC1v*ETA_dEpsilon_A,0,0,0
AATSC1v*ETA_dEpsilon_B,0,0,0
AATSC1v*ETA_dEpsilon_D,0,0,0
AATSC1v*GATS2c,0,0,0
AATSC1v*GATS4i,0,0,0
AATSC1v*JGI3,0,0,0
AATSC1v*JGI4,0,0,0
AATSC1v*MATS1c,0,0,0
AATSC1v*MATS1i,0,0,0
AATSC1v*MATS1v,0,0,0
AATSC1v*MATS2c,0,0,0
AATSC1v*MDEN-11,0,0,0
AATSC1v*MDEN-12,0,0,0
AATSC1v*Mare,0,0,0
AATSC1v*Mpe,0,0,0
AATSC1v*SIC4,0,0,0
AATSC1v*SsNH2,0,0,0
AATSC2c,0,0,0
AATSC2e,0,0,0
AATSC2e*GATS2c,0,0,0
AATSC2i,0,0,0
AATSC2m,0,0,0
AATSC2m*SsBr,0,0,1
AATSC2m*maxsBr,1,1,1
AATSC2p,0,0,0
AATSC2s,0,0,0
AATSC2v,0,0,0
AATSC3c,0,0,0
AATSC3c*MATS3p,0,1,0
AATSC3e,0,0,0
AATSC3e*JGI4,0,0,0
AATSC3e*minHBd,0,0,0
AATSC3i,0,0,0
AATSC3i*ETA_Epsilon_3,0,0,0
AATSC3i*GATS8e,0,0,0
AATSC3i*GATS8s,0,0,0
AATSC3i*MATS3i,0,0,0
AATSC3i*MATS3p,0,0,0
AATSC3i*WTPT-2,0,0,0
AATSC3m,0,0,0
AATSC3p,0,0,0
AATSC3p*MATS3p,0,0,0
AATSC3s,0,0,0
AATSC3v,0,0,0
AATSC3v*AATSC3i,0,0,0
AATSC3v*ETA_Epsilon_3,0,0,0
AATSC3v*MATS3i,0,0,0
AATSC3v*MATS3p,0,0,0
AATSC3v*WTPT-2,0,0,0
AATSC4c,0,0,0
AATSC4e,0,0,0
AATSC4e*ETA_dPsi_A,0,0,0
AATSC4e*GATS1m,0,0,0
AATSC4e*JGI2,0,0,0
AATSC4i,0,0,0
AATSC4m,0,0,0
AATSC4m*AATSC8i,0,0,0
AATSC4m*ETA_Epsilon_3,0,0,0
AATSC4m*MATS1s,0,0,0
AATSC4m*WTPT-2,0,0,0
AATSC4p,0,0,0
AATSC4p*AATSC2i,0,0,0
AATSC4p*ETA_Epsilon_3,0,0,0
AATSC4p*ETA_dEpsilon_D,0,0,0
AATSC4p*GATS1c,0,0,0
AATSC4p*GATS4v,0,0,0
AATSC4p*JGI2,0,0,0
AATSC4p*JGI4,0,0,0
AATSC4p*MATS1s,0,0,0
AATSC4p*MATS2i,0,0,0
AATSC4p*MATS2v,0,0,0
AATSC4p*WTPT-2,0,0,0
AATSC4p*maxHBd,0,0,0
AATSC4p*minHBd,0,0,0
AATSC4s,0,0,0
AATSC4v,0,0,0
AATSC4v*AATSC2i,0,0,0
AATSC4v*ETA_Shape_Y,0,0,0
AATSC4v*ETA_dEpsilon_D,0,0,0
AATSC4v*GATS1c,0,0,0
AATSC4v*GATS3p,0,0,0
AATSC4v*GATS4v,0,0,0
AATSC4v*JGI2,0,0,0
AATSC4v*JGI4,0,0,0
AATSC4v*MATS1v,0,0,0
AATSC4v*MATS2i,0,0,0
AATSC4v*MATS2v,0,0,1
AATSC4v*MDEN-12,0,0,0
AATSC4v*SsNH2,0,0,0
AATSC4v*WTPT-2,0,0,0
AATSC4v*maxHBd,0,0,0
AATSC4v*minHBd,0,0,0
AATSC4v*minsNH2,0,0,0
AATSC5c,0,0,0
AATSC5e,0,0,0
AATSC5i,0,0,0
AATSC5m,0,0,1
AATSC5p,0,0,0
AATSC5s,0,0,0
AATSC5v,0,0,0
AATSC6c,0,0,0
AATSC6e,0,0,0
AATSC6i,0,0,0
AATSC6m,0,0,0
AATSC6p,0,0,0
AATSC6s,0,0,0
AATSC6v,0,0,1
AATSC7c,0,0,0
AATSC7e,0,0,0
AATSC7i,0,0,0
AATSC7m,0,0,0
AATSC7p,0,0,0
AATSC7s,0,0,0
AATSC7v,0,0,0
AATSC8c,0,0,0
AATSC8e,0,0,0
AATSC8i,0,0,0
AATSC8i*minHBd,0,0,0
AATSC8m,0,0,0
AATSC8p,0,0,0
AATSC8s,0,0,0
AATSC8v,0,0,0
AMW,0,0,0
ATS0e,0,0,0
ATS0i,0,0,0
ATS0m,0,0,0
ATS0m*maxsBr,0,0,0
ATS0p,0,0,0
ATS0p*GATS8s,0,0,0
ATS0s,0,0,1
ATS0s*GATS8c,0,0,0
ATS0s*GATS8s,0,0,0
ATS0v,0,0,0
ATS0v*GATS8s,0,0,0
ATS0v*MATS3p,0,0,0
ATS1e,0,0,0
ATS1e*GATS8s,0,0,0
ATS1e*MATS3p,0,0,0
ATS1i,0,0,0
ATS1m,0,0,0
ATS1p,0,0,0
ATS1s,0,0,0
ATS1s*GATS8s,0,0,0
ATS1s*MATS3p,0,0,0
ATS1v,0,0,0
ATS2e,0,0,0
ATS2i,0,0,0
ATS2m,0,0,0
ATS2p,0,0,0
ATS2p*GATS8s,0,0,0
ATS2p*MATS3p,0,0,0
ATS2s,0,0,0
ATS2s*GATS8s,0,0,0
ATS2v,0,0,0
ATS3e,0,0,0
ATS3i,0,0,0
ATS3m,0,0,0
ATS3p,0,0,0
ATS3s,0,0,0
ATS3s*GATS8s,0,0,0
ATS3v,0,0,0
ATS4e,0,0,0
ATS4i,0,0,0
ATS4i*GATS8s,0,0,0
ATS4m,0,0,0
ATS4p,0,0,0
ATS4s,0,0,0
ATS4s*GATS8s,0,0,0
ATS4v,0,0,0
ATS4v*GATS8s,0,0,0
ATS4v*MATS3p,0,0,0
ATS5e,0,0,0
ATS5e*GATS8s,0,0,0
ATS5e*MATS3p,0,0,0
ATS5i,0,0,0
ATS5i*GATS8s,0,0,0
ATS5m,0,0,0
ATS5p,0,0,0
ATS5s,0,0,0
ATS5s*GATS8s,0,0,0
ATS5v,0,0,0
ATS6e,0,0,0
ATS6i,0,0,0
ATS6i*GATS8s,0,0,0
ATS6m,0,0,0
ATS6p,0,0,0
ATS6s,0,0,0
