,54_feats_10.12_rmse,104_feats_4.23_rmse
AATS0e,0,0
AATS0i,0,0
AATS0m,0,0
AATS0p,0,0
AATS0s,0,0
AATS0v,0,0
AATS1e,0,0
AATS1i,0,0
AATS1m,0,0
AATS1p,0,0
AATS1s,0,0
AATS1v,0,0
AATS2e,0,0
AATS2i,0,0
AATS2i*WPOL_34,0,0
AATS2m,0,0
AATS2p,0,0
AATS2s,0,0
AATS2v,0,0
AATS3e,0,0
AATS3i,0,0
AATS3m,0,0
AATS3p,0,0
AATS3s,0,0
AATS3v,0,0
AATS4e,0,0
AATS4i,0,0
AATS4m,0,0
AATS4p,0,0
AATS4s,0,0
AATS4v,1,0
AATS5e,0,0
AATS5i,0,0
AATS5m,0,0
AATS5p,0,1
AATS5s,0,0
AATS5v,0,0
AATS6e,0,0
AATS6i,0,0
AATS6m,0,0
AATS6p,0,0
AATS6s,0,0
AATS6v,0,0
AATS7e,0,0
AATS7i,0,0
AATS7m,0,0
AATS7p,0,0
AATS7s,0,0
AATS7v,0,0
AATS8e,0,0
AATS8i,0,0
AATS8m,0,0
AATS8p,0,0
AATS8s,0,0
AATS8v,0,0
AATSC0c,0,0
AATSC0e,0,0
AATSC0i,0,0
AATSC0m,0,0
AATSC0p,0,0
AATSC0s,0,0
AATSC0v,0,0
AATSC1c,0,0
AATSC1e,0,0
AATSC1i,0,0
AATSC1m,0,0
AATSC1p,0,0
AATSC1s,0,0
AATSC1v,0,0
AATSC2c,0,0
AATSC2e,0,0
AATSC2i,0,1
AATSC2m,0,0
AATSC2p,0,0
AATSC2s,0,0
AATSC2v,0,0
AATSC3c,0,0
AATSC3e,0,0
AATSC3i,0,0
AATSC3m,0,0
AATSC3p,0,0
AATSC3s,0,0
AATSC3v,0,0
AATSC4c,0,0
AATSC4e,0,0
AATSC4i,0,0
AATSC4m,0,0
AATSC4p,0,0
AATSC4s,0,0
AATSC4v,0,0
AATSC5c,0,0
AATSC5e,0,0
AATSC5i,0,0
AATSC5m,0,0
AATSC5p,0,0
AATSC5s,0,0
AATSC5v,0,0
AATSC6c,0,0
AATSC6e,0,0
AATSC6i,0,0
AATSC6m,1,0
AATSC6p,0,0
AATSC6s,0,0
AATSC6v,0,0
AATSC7c,0,0
AATSC7e,0,0
AATSC7i,0,0
AATSC7m,0,0
AATSC7p,0,0
AATSC7s,0,0
AATSC7v,0,0
AATSC8c,0,0
AATSC8e,0,0
AATSC8i,0,0
AATSC8m,0,0
AATSC8p,0,0
AATSC8s,0,0
AATSC8v,0,0
AMW,0,0
ATS0e,0,0
ATS0i,0,0
ATS0m,0,0
ATS0p,0,0
ATS0s,0,0
ATS0v,0,0
ATS1e,0,0
ATS1i,0,0
ATS1m,1,0
ATS1p,0,0
ATS1s,0,0
ATS1v,0,0
ATS2e,0,0
ATS2i,0,0
ATS2m,0,0
ATS2p,0,0
ATS2s,1,0
ATS2v,0,0
ATS3e,0,0
ATS3i,0,0
ATS3m,1,0
ATS3p,0,0
ATS3s,0,0
ATS3v,0,0
ATS4e,0,0
ATS4i,0,0
ATS4m,1,0
ATS4p,0,0
ATS4s,0,0
ATS4v,0,0
ATS5e,0,0
ATS5i,0,0
ATS5m,0,0
ATS5p,0,0
ATS5s,0,0
ATS5v,0,0
ATS6e,0,0
ATS6i,0,0
ATS6m,0,0
ATS6p,0,0
ATS6s,0,0
ATS6v,0,0
ATS7e,0,0
ATS7i,0,0
ATS7m,0,0
ATS7p,0,0
ATS7s,0,0
ATS7v,0,0
ATS8e,0,0
ATS8i,0,0
ATS8m,0,0
ATS8p,0,0
ATS8s,0,0
ATS8v,0,0
ATSC0c,0,0
ATSC0e,0,0
ATSC0i,0,0
ATSC0m,0,0
ATSC0p,0,0
ATSC0s,0,0
ATSC0v,0,0
ATSC1c,0,0
ATSC1e,0,0
ATSC1i,0,0
ATSC1m,0,0
ATSC1p,0,0
ATSC1s,0,0
ATSC1v,0,0
ATSC2c,0,0
ATSC2e,0,0
ATSC2i,1,0
ATSC2m,0,0
ATSC2p,1,0
ATSC2s,0,0
ATSC2v,0,0
ATSC3c,0,0
ATSC3e,0,0
ATSC3i,0,0
ATSC3m,0,0
ATSC3p,0,0
ATSC3s,0,0
ATSC3v,0,0
ATSC4c,0,0
ATSC4e,0,0
ATSC4i,0,0
ATSC4m,0,0
ATSC4p,0,0
ATSC4s,0,0
ATSC4v,0,0
ATSC5c,0,0
ATSC5e,0,0
ATSC5i,0,0
ATSC5m,0,0
ATSC5p,0,0
ATSC5s,0,0
ATSC5v,0,0
ATSC6c,0,0
ATSC6e,0,0
ATSC6i,0,0
ATSC6m,0,0
ATSC6p,0,0
ATSC6s,0,0
ATSC6v,0,0
ATSC7c,0,0
ATSC7e,0,0
ATSC7i,0,1
ATSC7m,0,0
ATSC7p,0,0
ATSC7s,0,0
ATSC7v,0,0
ATSC8c,0,0
ATSC8e,0,1
ATSC8i,0,0
ATSC8m,0,0
ATSC8p,0,0
ATSC8s,0,1
ATSC8v,0,0
BIC0,0,0
BIC1,0,0
BIC2,0,0
BIC3,0,0
BIC4,0,0
BIC5,0,0
C1SP2_0,0,0
C1SP2_1,0,0
C1SP2_2,0,0
C1SP2_3,0,0
C1SP2_4,0,0
C1SP3_0,0,0
C1SP3_1,0,0
C1SP3_2,0,0
C1SP3_3,0,0
C1SP3_4,0,0
C1SP3_5,0,0
C1SP3_6,0,0
C1SP3_7,0,0
C2SP2_0,0,0
C2SP2_11,0,0
C2SP2_12,0,0
C2SP2_13,0,0
C2SP2_14,0,0
C2SP2_15,0,0
C2SP2_3,0,0
C2SP2_5,0,0
C2SP2_6,0,0
C2SP2_7,0,0
C2SP2_8,0,0
C2SP2_9,0,0
C2SP3_0,0,0
C2SP3_1,0,0
C2SP3_2,0,0
C2SP3_2*MPC8_120,0,0
C2SP3_3,0,0
C3SP2_0,0,0
C3SP2_1,0,0
C3SP2_2,0,0
C3SP2_3,0,0
C3SP3_0,0,0
C3SP3_1,1,0
C3SP3_2,0,0
C3SP3_3,0,0
C4SP3_0,0,0
C4SP3_1,0,0
CIC0,0,0
CIC1,0,0
CIC2,0,0
CIC3,0,0
CIC4,0,0
CIC5,0,0
CrippenLogP,0,0
CrippenMR,1,0
DELS,0,0
DELS2,0,0
ECCEN_1006,0,0
ECCEN_1045,0,0
ECCEN_106,0,0
ECCEN_110,0,1
ECCEN_118,0,0
ECCEN_121,0,0
ECCEN_123,0,0
ECCEN_129,0,0
ECCEN_137,0,0
ECCEN_179,0,0
ECCEN_191,0,0
ECCEN_195,0,0
ECCEN_216,0,0
ECCEN_219,0,0
ECCEN_219*nHBDon_Lipinski_2,0,0
ECCEN_226,0,0
ECCEN_227,0,1
ECCEN_234,0,0
ECCEN_237,0,0
ECCEN_255,0,0
ECCEN_296,0,0
ECCEN_298,0,0
ECCEN_308,0,0
ECCEN_313,0,0
ECCEN_315,0,0
ECCEN_322,0,0
ECCEN_323,0,0
ECCEN_328,0,0
ECCEN_341,0,0
ECCEN_346,0,0
ECCEN_357,0,0
ECCEN_359,0,0
ECCEN_374,0,0
ECCEN_374*MPC8_120,0,0
ECCEN_376,0,0
ECCEN_387,0,0
ECCEN_394,0,0
ECCEN_395,0,0
ECCEN_449,0,0
ECCEN_466,0,0
ECCEN_468,0,0
ECCEN_500,0,0
ECCEN_502,0,0
ECCEN_502*MPC8_120,0,0
ECCEN_504,0,0
ECCEN_512,0,0
ECCEN_527,0,0
ECCEN_531,0,0
ECCEN_545,0,0
ECCEN_547,0,0
ECCEN_560,0,0
ECCEN_578,0,0
ECCEN_604,0,0
ECCEN_620,0,0
ECCEN_693,0,0
ECCEN_79,0,0
ECCEN_800,0,0
ECCEN_93,0,0
ECCEN_96,0,0
ECCEN_97,0,0
EE_D,0,0
EE_D*WPOL_34,0,0
EE_Dt,0,0
EE_DzZ,0,0
EE_Dze,0,0
EE_Dzi,0,0
EE_Dzm,0,0
EE_Dzp,0,0
EE_Dzs,0,0
EE_Dzv,0,0
ETA_Alpha,0,0
ETA_AlphaP,0,0
ETA_Beta,0,0
ETA_BetaP,0,0
ETA_BetaP_ns,0,0
ETA_BetaP_ns_d,0,0
ETA_BetaP_s,0,0
ETA_Beta_ns,0,0
ETA_Beta_ns_d,0,0
ETA_Beta_s,0,0
ETA_Epsilon_1,0,0
ETA_Epsilon_2,0,0
ETA_Epsilon_3,0,0
ETA_Epsilon_4,0,0
ETA_Epsilon_5,0,0
ETA_Eta,0,0
ETA_EtaP,0,0
ETA_EtaP_B,0,0
ETA_EtaP_B_RC,0,0
